_link,_link_releases,_link_releases_parties,_link_main,scheme,id,description
0.releases.169.parties.19.details.classifications.0,0.releases.169,0.releases.169.parties.19,0,WLB,WLB,Woman-Lead Business
0.releases.169.parties.20.details.classifications.0,0.releases.169,0.releases.169.parties.20,0,WLB,WLB,Woman-Lead Business
0.releases.169.parties.23.details.classifications.0,0.releases.169,0.releases.169.parties.23,0,WLB,WLB,Woman-Lead Business
0.releases.172.parties.1.details.classifications.0,0.releases.172,0.releases.172.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.174.parties.2.details.classifications.0,0.releases.174,0.releases.174.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.174.parties.3.details.classifications.0,0.releases.174,0.releases.174.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.174.parties.5.details.classifications.0,0.releases.174,0.releases.174.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.175.parties.3.details.classifications.0,0.releases.175,0.releases.175.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.178.parties.3.details.classifications.0,0.releases.178,0.releases.178.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.184.parties.5.details.classifications.0,0.releases.184,0.releases.184.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.191.parties.1.details.classifications.0,0.releases.191,0.releases.191.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.191.parties.2.details.classifications.0,0.releases.191,0.releases.191.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.195.parties.7.details.classifications.0,0.releases.195,0.releases.195.parties.7,0,WLB,WLB,Woman-Lead Business
0.releases.195.parties.17.details.classifications.0,0.releases.195,0.releases.195.parties.17,0,WLB,WLB,Woman-Lead Business
0.releases.195.parties.19.details.classifications.0,0.releases.195,0.releases.195.parties.19,0,WLB,WLB,Woman-Lead Business
0.releases.195.parties.20.details.classifications.0,0.releases.195,0.releases.195.parties.20,0,WLB,WLB,Woman-Lead Business
0.releases.195.parties.23.details.classifications.0,0.releases.195,0.releases.195.parties.23,0,WLB,WLB,Woman-Lead Business
0.releases.196.parties.2.details.classifications.0,0.releases.196,0.releases.196.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.196.parties.3.details.classifications.0,0.releases.196,0.releases.196.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.198.parties.1.details.classifications.0,0.releases.198,0.releases.198.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.199.parties.8.details.classifications.0,0.releases.199,0.releases.199.parties.8,0,WLB,WLB,Woman-Lead Business
0.releases.199.parties.10.details.classifications.0,0.releases.199,0.releases.199.parties.10,0,WLB,WLB,Woman-Lead Business
0.releases.201.parties.3.details.classifications.0,0.releases.201,0.releases.201.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.204.parties.3.details.classifications.0,0.releases.204,0.releases.204.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.204.parties.4.details.classifications.0,0.releases.204,0.releases.204.parties.4,0,WLB,WLB,Woman-Lead Business
