_link,_link_releases,_link_releases_contracts,_link_main,id,description,quantity,classification_scheme,classification_id,classification_description,unit_id,unit_name,unit_value_amount,unit_value_currency
0.releases.3428.contracts.0.items.544,0.releases.3428,0.releases.3428.contracts.0,0,4a6f4ac6-b97b-4bf4-85bc-1f240cdc4ba1,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406103,"Car or truck insurance,GR 197 E/TOYOTA LC HT 79/AMBULANCE",4505752,RWF
0.releases.3428.contracts.0.items.545,0.releases.3428,0.releases.3428.contracts.0,0,f5e60c74-03d0-4b87-b205-3da181db629a,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406104,"Car or truck insurance,GR 193 E/TOYOTA LC HT 79/AMBULANCE",4505752,RWF
0.releases.3428.contracts.0.items.546,0.releases.3428,0.releases.3428.contracts.0,0,437f88d7-c1ac-47eb-a7b9-c8ad10efb215,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406104,"Car or truck insurance,GR 193 E/TOYOTA LC HT 79/AMBULANCE",4505752,RWF
0.releases.3428.contracts.0.items.547,0.releases.3428,0.releases.3428.contracts.0,0,773b19ad-40b4-4c33-8b6e-8fb4c10d9538,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406104,"Car or truck insurance,GR 193 E/TOYOTA LC HT 79/AMBULANCE",4505752,RWF
0.releases.3428.contracts.0.items.548,0.releases.3428,0.releases.3428.contracts.0,0,61d37826-a139-4eab-81d1-076b29dac8b3,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406104,"Car or truck insurance,GR 193 E/TOYOTA LC HT 79/AMBULANCE",4505752,RWF
0.releases.3428.contracts.0.items.549,0.releases.3428,0.releases.3428.contracts.0,0,309b7471-267e-4501-92ee-a4d0e24aec7e,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406104,"Car or truck insurance,GR 193 E/TOYOTA LC HT 79/AMBULANCE",4505752,RWF
0.releases.3428.contracts.0.items.550,0.releases.3428,0.releases.3428.contracts.0,0,30b2caa2-3818-4824-881e-436632f80cb3,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406105,"Car or truck insurance,GR 151 E/TOYOTA LC HT 79/AMBULANCE",4312505,RWF
0.releases.3428.contracts.0.items.551,0.releases.3428,0.releases.3428.contracts.0,0,3d51cd46-0126-4da6-a609-7ad34f0befd5,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406105,"Car or truck insurance,GR 151 E/TOYOTA LC HT 79/AMBULANCE",4312505,RWF
0.releases.3428.contracts.0.items.552,0.releases.3428,0.releases.3428.contracts.0,0,899f08a5-bdd6-4c4d-a587-29702c5cfd89,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406105,"Car or truck insurance,GR 151 E/TOYOTA LC HT 79/AMBULANCE",4312505,RWF
0.releases.3428.contracts.0.items.553,0.releases.3428,0.releases.3428.contracts.0,0,26ff4ba5-1b5a-46ad-a01f-1591177eba6d,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406105,"Car or truck insurance,GR 151 E/TOYOTA LC HT 79/AMBULANCE",4312505,RWF
0.releases.3428.contracts.0.items.554,0.releases.3428,0.releases.3428.contracts.0,0,9e63fc1a-4624-4e32-8980-b258551b2621,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406105,"Car or truck insurance,GR 151 E/TOYOTA LC HT 79/AMBULANCE",4312505,RWF
0.releases.3428.contracts.0.items.555,0.releases.3428,0.releases.3428.contracts.0,0,8407cabd-199a-4b3f-b44c-0f04f91dfa0d,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406106,"Car or truck insurance,GR 909 E/LAND CRUISER HARD TOP",8007309,RWF
0.releases.3428.contracts.0.items.556,0.releases.3428,0.releases.3428.contracts.0,0,3bbfd3d9-f2c1-469c-bee2-1efb9c10187d,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406106,"Car or truck insurance,GR 909 E/LAND CRUISER HARD TOP",8007309,RWF
0.releases.3428.contracts.0.items.557,0.releases.3428,0.releases.3428.contracts.0,0,71730242-0f0b-459e-944a-dd0a68e7a67f,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406106,"Car or truck insurance,GR 909 E/LAND CRUISER HARD TOP",8007309,RWF
0.releases.3428.contracts.0.items.558,0.releases.3428,0.releases.3428.contracts.0,0,d42bb1ee-8076-4a7f-a7f2-2fcd135a45fa,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406106,"Car or truck insurance,GR 909 E/LAND CRUISER HARD TOP",8007309,RWF
0.releases.3428.contracts.0.items.559,0.releases.3428,0.releases.3428.contracts.0,0,88f07ca9-c1c0-4f78-8856-cef3576dba8b,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406106,"Car or truck insurance,GR 909 E/LAND CRUISER HARD TOP",8007309,RWF
0.releases.3428.contracts.0.items.560,0.releases.3428,0.releases.3428.contracts.0,0,54d5bf95-0eae-4b67-92b2-ad3deb283423,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406107,"Car or truck insurance,GR 315 E/TOYOTA LC HT 79/AMBULANCE",4312505,RWF
0.releases.3428.contracts.0.items.561,0.releases.3428,0.releases.3428.contracts.0,0,c55480a0-f647-4f99-8b5e-56c0e6a06038,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406107,"Car or truck insurance,GR 315 E/TOYOTA LC HT 79/AMBULANCE",4312505,RWF
0.releases.3428.contracts.0.items.562,0.releases.3428,0.releases.3428.contracts.0,0,4a292876-dc85-42be-9a1b-eed334e1fd24,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406107,"Car or truck insurance,GR 315 E/TOYOTA LC HT 79/AMBULANCE",4312505,RWF
0.releases.3428.contracts.0.items.563,0.releases.3428,0.releases.3428.contracts.0,0,32b4d443-1a05-42c2-bb5e-3a15753c6ee6,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406107,"Car or truck insurance,GR 315 E/TOYOTA LC HT 79/AMBULANCE",4312505,RWF
0.releases.3428.contracts.0.items.564,0.releases.3428,0.releases.3428.contracts.0,0,89e582e4-246d-4767-9d45-a899a236aafc,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406107,"Car or truck insurance,GR 315 E/TOYOTA LC HT 79/AMBULANCE",4312505,RWF
0.releases.3428.contracts.0.items.565,0.releases.3428,0.releases.3428.contracts.0,0,1216be39-9ee8-4e30-ba71-744dbd57f894,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406108,"Car or truck insurance,GR 153 E/TOYOTA LC HT AMBULANCE",4312505,RWF
0.releases.3428.contracts.0.items.566,0.releases.3428,0.releases.3428.contracts.0,0,ecafb69e-0198-44cb-a66e-2d4a50fab701,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406108,"Car or truck insurance,GR 153 E/TOYOTA LC HT AMBULANCE",4312505,RWF
0.releases.3428.contracts.0.items.567,0.releases.3428,0.releases.3428.contracts.0,0,d52dddd3-fc49-43d7-aebe-e10972fc4dd1,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406108,"Car or truck insurance,GR 153 E/TOYOTA LC HT AMBULANCE",4312505,RWF
0.releases.3428.contracts.0.items.568,0.releases.3428,0.releases.3428.contracts.0,0,c2df315f-9b2a-4ca7-8d78-60399414d827,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406108,"Car or truck insurance,GR 153 E/TOYOTA LC HT AMBULANCE",4312505,RWF
0.releases.3428.contracts.0.items.569,0.releases.3428,0.releases.3428.contracts.0,0,9f654173-16e3-4e30-b20f-e9afae31d5d6,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406108,"Car or truck insurance,GR 153 E/TOYOTA LC HT AMBULANCE",4312505,RWF
0.releases.3428.contracts.0.items.570,0.releases.3428,0.releases.3428.contracts.0,0,97810a04-5d2c-4d11-95a0-7b8b0c7fc307,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406109,"Car or truck insurance,GP 813 A/TOYOTA L/C",1286230,RWF
